ASV unite_kingdom unite_phylum unite_class unite_order unite_family unite_genus unite_species
ASV_ITS_00054 k__Fungi p__Basidiomycota c__Agaricomycetes o__Agaricales f__Cortinariaceae g__Cortinarius NA
ASV_ITS_00055 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Helotiaceae NA NA
ASV_ITS_00056 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Vibrisseaceae g__Phialocephala s__fortinii
ASV_ITS_00057 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales NA NA NA
ASV_ITS_00058 k__Fungi p__Basidiomycota c__Agaricomycetes o__Agaricales f__Hydnangiaceae g__Laccaria NA
ASV_ITS_00059 k__Fungi p__Mortierellomycota c__Mortierellomycetes o__Mortierellales f__Mortierellaceae g__Mortierella s__globulifera
ASV_ITS_00060 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Helotiaceae g__Hymenoscyphus s__tetracladius
ASV_ITS_00061 k__Fungi p__Basidiomycota c__Agaricomycetes o__Russulales f__Russulaceae g__Russula NA
ASV_ITS_00062 k__Fungi p__Rozellomycota NA NA NA NA NA
ASV_ITS_00063 k__Fungi NA NA NA NA NA NA
ASV_ITS_00064 k__Fungi p__Basidiomycota c__Agaricomycetes o__Polyporales NA NA NA
ASV_ITS_00065 k__Fungi p__Mortierellomycota c__Mortierellomycetes o__Mortierellales f__Mortierellaceae g__Mortierella NA
ASV_ITS_00066 k__Fungi p__Basidiomycota c__Microbotryomycetes o__Sporidiobolales f__Sporidiobolaceae g__Rhodotorula NA
ASV_ITS_00067 k__Fungi p__Ascomycota c__Sordariomycetes NA NA NA NA
ASV_ITS_00068 k__Fungi p__Basidiomycota c__Agaricomycetes o__Auriculariales NA NA NA
ASV_ITS_00069 k__Fungi NA NA NA NA NA NA
ASV_ITS_00070 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Leotiaceae g__Neobulgaria NA
