ASV unite_kingdom unite_phylum unite_class unite_order unite_family unite_genus unite_species
ASV_ITS_00236 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Hyaloscyphaceae g__Hyaloscypha s__variabilis
ASV_ITS_00237 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Hyaloscyphaceae g__Hyaloscypha NA
ASV_ITS_00238 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Hyaloscyphaceae g__Hyphodiscus NA
ASV_ITS_00239 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Hyaloscyphaceae g__Lachnellula s__fuscosanguinea
ASV_ITS_00240 k__Fungi p__Rozellomycota NA NA NA NA NA
ASV_ITS_00241 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Vibrisseaceae NA NA
ASV_ITS_00242 k__Fungi p__Basidiomycota NA NA NA NA NA
ASV_ITS_00243 k__Fungi p__Ascomycota c__Saccharomycetes o__Saccharomycetales f__Saccharomycetales_fam_Incertae_sedis g__Candida s__spencermartinsiae
ASV_ITS_00244 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Helotiaceae g__Glarea NA
ASV_ITS_00245 k__Fungi p__Basidiomycota c__Agaricomycetes o__Agaricales NA NA NA
ASV_ITS_00246 k__Fungi NA NA NA NA NA NA
ASV_ITS_00247 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Hyaloscyphaceae g__Lachnum NA
ASV_ITS_00248 k__Fungi p__Ascomycota c__Leotiomycetes NA NA NA NA
ASV_ITS_00249 k__Fungi NA NA NA NA NA NA
ASV_ITS_00250 k__Fungi p__Basidiomycota c__Microbotryomycetes o__Sporidiobolales f__Sporidiobolaceae g__Rhodotorula NA
ASV_ITS_00251 k__Fungi p__Ascomycota c__Eurotiomycetes o__Chaetothyriales NA NA NA
ASV_ITS_00252 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Hyaloscyphaceae g__Hyaloscypha NA
ASV_ITS_00253 k__Fungi NA NA NA NA NA NA
ASV_ITS_00254 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales NA NA NA
ASV_ITS_00255 k__Fungi p__Basidiomycota c__Agaricomycetes o__Russulales f__Russulaceae g__Russula s__xerampelina
ASV_ITS_00256 k__Fungi NA NA NA NA NA NA
ASV_ITS_00257 k__Fungi NA NA NA NA NA NA
ASV_ITS_00258 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales NA NA NA
ASV_ITS_00259 k__Fungi p__Ascomycota c__Leotiomycetes o__Thelebolales f__Thelebolaceae NA NA
ASV_ITS_00260 k__Fungi p__Ascomycota c__Sordariomycetes NA NA NA NA
ASV_ITS_00261 k__Fungi p__Mucoromycota c__Umbelopsidomycetes o__Umbelopsidales f__Umbelopsidaceae g__Umbelopsis NA
ASV_ITS_00262 k__Fungi p__Ascomycota c__Sordariomycetes o__Coniochaetales f__Coniochaetaceae g__Coniochaeta s__prunicola
ASV_ITS_00263 k__Fungi p__Basidiomycota NA NA NA NA NA
ASV_ITS_00264 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales NA NA NA
ASV_ITS_00265 k__Fungi NA NA NA NA NA NA
ASV_ITS_00266 k__Fungi p__Basidiomycota NA NA NA NA NA
ASV_ITS_00267 k__Fungi p__Ascomycota c__Eurotiomycetes o__Chaetothyriales NA NA NA
ASV_ITS_00268 k__Fungi p__Ascomycota c__Dothideomycetes o__Capnodiales f__Teratosphaeriaceae g__Bryochiton s__monascus
ASV_ITS_00269 k__Fungi p__Basidiomycota c__Agaricomycetes o__Russulales f__Russulaceae g__Lactarius s__glyciosmus
ASV_ITS_00270 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Hyaloscyphaceae g__Arachnopeziza s__delicatula
ASV_ITS_00271 k__Fungi p__Basidiomycota c__Agaricomycetes o__Agaricales f__Cortinariaceae g__Cortinarius NA
ASV_ITS_00272 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Dermateaceae g__Scleropezicula NA
ASV_ITS_00273 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Helotiales_fam_Incertae_sedis g__Xenopolyscytalum NA
ASV_ITS_00274 k__Fungi p__Basidiomycota c__Agaricomycetes o__Agaricales f__Tricholomataceae g__Mycena s__metata
ASV_ITS_00275 k__Fungi p__Basidiomycota NA NA NA NA NA
ASV_ITS_00276 k__Fungi NA NA NA NA NA NA
ASV_ITS_00277 k__Fungi p__Basidiomycota c__Agaricomycetes o__Agaricales f__Hymenogastraceae g__Hebeloma s__mesophaeum
ASV_ITS_00278 k__Fungi p__Basidiomycota NA NA NA NA NA
ASV_ITS_00279 k__Fungi NA NA NA NA NA NA
ASV_ITS_00280 k__Fungi p__Basidiomycota c__Agaricomycetes o__Sebacinales f__Serendipitaceae g__Serendipita NA
ASV_ITS_00281 k__Fungi NA NA NA NA NA NA
ASV_ITS_00282 k__Fungi p__Ascomycota c__Leotiomycetes o__Leotiales f__Mniaeciaceae g__Epithamnolia s__rangiferinae
ASV_ITS_00283 k__Fungi NA NA NA NA NA NA
ASV_ITS_00284 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Loramycetaceae NA NA
ASV_ITS_00285 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales NA NA NA
ASV_ITS_00286 k__Fungi p__Basidiomycota c__Agaricomycetes o__Auriculariales NA NA NA
ASV_ITS_00287 k__Fungi NA NA NA NA NA NA
ASV_ITS_00288 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Hyaloscyphaceae NA NA
ASV_ITS_00289 k__Fungi p__Basidiomycota c__Agaricomycetes o__Agaricales f__Strophariaceae g__Hypholoma s__elongatipes
ASV_ITS_00290 k__Fungi p__Basidiomycota c__Agaricomycetes o__Agaricales f__Tricholomataceae g__Lichenomphalia s__umbellifera
ASV_ITS_00291 k__Fungi p__Ascomycota c__Dothideomycetes o__Venturiales f__Venturiaceae NA NA
ASV_ITS_00292 k__Fungi NA NA NA NA NA NA
ASV_ITS_00293 k__Fungi p__Basidiomycota c__Agaricomycetes o__Sebacinales f__Serendipitaceae g__Serendipita NA
ASV_ITS_00294 k__Fungi p__Mortierellomycota c__Mortierellomycetes o__Mortierellales f__Mortierellaceae g__Mortierella s__globulifera
ASV_ITS_00295 k__Fungi p__Basidiomycota c__Agaricomycetes o__Russulales f__Russulaceae g__Russula s__aeruginea
ASV_ITS_00296 k__Fungi p__Basidiomycota c__Tremellomycetes o__Tremellales f__Phaeotremellaceae g__Phaeotremella NA
ASV_ITS_00297 k__Fungi p__Ascomycota c__Orbiliomycetes o__Orbiliales f__Orbiliaceae NA NA
ASV_ITS_00298 k__Fungi p__Ascomycota c__Eurotiomycetes o__Chaetothyriales f__Herpotrichiellaceae g__Cladophialophora NA
ASV_ITS_00299 k__Fungi p__Basidiomycota c__Agaricomycetes o__Agaricales f__Strophariaceae g__Hypholoma s__myosotis
ASV_ITS_00300 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales NA NA NA
ASV_ITS_00301 k__Fungi p__Mortierellomycota c__Mortierellomycetes o__Mortierellales f__Mortierellaceae g__Mortierella s__macrocystis
ASV_ITS_00302 k__Fungi p__Basidiomycota c__Agaricomycetes o__Russulales f__Russulaceae g__Russula s__aeruginea
ASV_ITS_00303 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Hyaloscyphaceae g__Hyaloscypha s__variabilis
ASV_ITS_00304 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Hyaloscyphaceae g__Hyaloscypha s__variabilis
ASV_ITS_00305 k__Fungi p__Basidiomycota c__Tremellomycetes o__Tremellales NA NA NA
ASV_ITS_00306 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales NA NA NA
ASV_ITS_00307 k__Fungi p__Basidiomycota c__Agaricomycetes o__Agaricales f__Cortinariaceae g__Cortinarius s__acutovelatus
ASV_ITS_00308 k__Fungi p__Basidiomycota c__Agaricomycetes o__Russulales f__Russulaceae g__Russula s__suecica
ASV_ITS_00309 k__Fungi p__Ascomycota c__Sordariomycetes o__Hypocreales f__Cordycipitaceae g__Simplicillium NA
ASV_ITS_00310 k__Fungi p__Basidiomycota c__Tremellomycetes o__Filobasidiales f__Piskurozymaceae g__Solicoccozyma s__terricola
ASV_ITS_00311 k__Fungi p__Basidiomycota c__Agaricomycetes NA NA NA NA
ASV_ITS_00312 k__Fungi p__Ascomycota c__Leotiomycetes o__Rhytismatales f__Rhytismataceae g__Coccomyces s__australis
ASV_ITS_00313 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales NA NA NA
ASV_ITS_00314 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales NA NA NA
ASV_ITS_00315 k__Fungi p__Basidiomycota c__Agaricomycetes o__Sebacinales f__Serendipitaceae g__Serendipita NA
ASV_ITS_00316 k__Fungi p__Ascomycota c__Leotiomycetes o__Phacidiales f__Helicogoniaceae g__Eleutheromyces s__subulatus
ASV_ITS_00317 k__Fungi p__Basidiomycota c__Agaricomycetes o__Sebacinales f__Serendipitaceae g__Serendipita NA
ASV_ITS_00318 k__Fungi p__Mortierellomycota c__Mortierellomycetes o__Mortierellales f__Mortierellaceae g__Mortierella NA
ASV_ITS_00319 k__Fungi p__Ascomycota c__Sordariomycetes o__Hypocreales f__Hypocreales_fam_Incertae_sedis g__Sarocladium s__kiliense
ASV_ITS_00320 k__Fungi p__Basidiomycota c__Agaricomycetes o__Russulales f__Stereaceae g__Stereum NA
ASV_ITS_00321 k__Fungi p__Basidiomycota c__Agaricomycetes o__Russulales f__Russulaceae g__Russula s__vinososordida
ASV_ITS_00322 k__Fungi p__Ascomycota c__Taphrinomycetes o__Taphrinales f__Taphrinaceae g__Taphrina NA
ASV_ITS_00323 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Hyaloscyphaceae g__Hyaloscypha NA
ASV_ITS_00324 k__Fungi NA NA NA NA NA NA
ASV_ITS_00325 k__Fungi p__Basidiomycota c__Tremellomycetes o__Tremellales f__Rhynchogastremataceae g__Papiliotrema NA
ASV_ITS_00326 k__Fungi NA NA NA NA NA NA
ASV_ITS_00327 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Dermateaceae g__Mollisia NA
ASV_ITS_00328 k__Fungi p__Basidiomycota c__Tremellomycetes o__Cystofilobasidiales NA NA NA
ASV_ITS_00329 k__Fungi NA NA NA NA NA NA
ASV_ITS_00330 k__Fungi p__Mucoromycota c__Endogonomycetes NA NA NA NA
ASV_ITS_00331 k__Fungi NA NA NA NA NA NA
ASV_ITS_00332 k__Fungi p__Ascomycota c__Dothideomycetes o__Capnodiales NA NA NA
ASV_ITS_00333 k__Fungi p__Ascomycota c__Sordariomycetes o__Xylariales f__Amphisphaeriaceae g__Synnemapestaloides NA
ASV_ITS_00334 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales NA NA NA
ASV_ITS_00335 k__Fungi p__Ascomycota c__Pezizomycotina_cls_Incertae_sedis o__Pezizomycotina_ord_Incertae_sedis f__Pezizomycotina_fam_Incertae_sedis g__Cytosporella s__juncicola
ASV_ITS_00336 k__Fungi p__Basidiomycota c__Microbotryomycetes o__Leucosporidiales NA NA NA
ASV_ITS_00337 k__Fungi p__Basidiomycota c__Agaricomycetes o__Polyporales NA NA NA
ASV_ITS_00338 k__Fungi p__Ascomycota c__Eurotiomycetes o__Chaetothyriales f__Herpotrichiellaceae g__Cladophialophora s__minutissima
ASV_ITS_00339 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Helotiales_fam_Incertae_sedis g__Acephala NA
ASV_ITS_00340 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales NA NA NA
ASV_ITS_00341 k__Fungi p__Basidiomycota c__Tremellomycetes o__Cystofilobasidiales f__Mrakiaceae g__Tausonia s__pullulans
ASV_ITS_00342 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales NA NA NA
ASV_ITS_00343 k__Fungi NA NA NA NA NA NA
ASV_ITS_00344 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Hyaloscyphaceae g__Lachnellula s__fuscosanguinea
ASV_ITS_00345 k__Fungi p__Basidiomycota c__Tremellomycetes o__Tremellales f__Phaeotremellaceae g__Phaeotremella NA
ASV_ITS_00346 k__Fungi p__Basidiomycota c__Agaricomycetes o__Agaricales f__Cortinariaceae g__Cortinarius s__rossicioenochelis
ASV_ITS_00347 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales NA NA NA
ASV_ITS_00348 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales NA NA NA
ASV_ITS_00349 k__Fungi p__Rozellomycota NA NA NA NA NA
ASV_ITS_00350 k__Fungi p__Basidiomycota c__Tremellomycetes o__Filobasidiales f__Filobasidiaceae g__Naganishia s__albida
ASV_ITS_00351 k__Fungi NA NA NA NA NA NA
ASV_ITS_00352 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Hyaloscyphaceae g__Hyaloscypha s__variabilis
ASV_ITS_00353 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Helotiaceae g__Pseudohelotium s__haematoideum
ASV_ITS_00354 k__Fungi NA NA NA NA NA NA
ASV_ITS_00355 k__Fungi p__Basidiomycota c__Agaricomycetes o__Russulales f__Russulaceae g__Lactarius s__glyciosmus
ASV_ITS_00356 k__Fungi p__Mortierellomycota c__Mortierellomycetes o__Mortierellales f__Mortierellaceae g__Mortierella s__elongatula
ASV_ITS_00357 k__Fungi p__Mortierellomycota c__Mortierellomycetes o__Mortierellales f__Mortierellaceae g__Mortierella s__globulifera
ASV_ITS_00358 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Helotiaceae g__Meliniomyces NA
ASV_ITS_00359 k__Fungi p__Ascomycota c__Dothideomycetes o__Capnodiales f__Teratosphaeriaceae g__Bryochiton s__monascus
ASV_ITS_00360 k__Fungi NA NA NA NA NA NA
ASV_ITS_00361 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales NA NA NA
ASV_ITS_00362 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales NA NA NA
ASV_ITS_00363 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales NA NA NA
ASV_ITS_00364 k__Fungi NA NA NA NA NA NA
ASV_ITS_00365 k__Fungi p__Basidiomycota c__Agaricomycetes o__Agaricales f__Cortinariaceae g__Cortinarius NA
ASV_ITS_00366 k__Fungi p__Basidiomycota c__Agaricomycetes o__Sebacinales f__Serendipitaceae g__Serendipita NA
ASV_ITS_00367 k__Fungi p__Basidiomycota c__Microbotryomycetes o__Microbotryomycetes_ord_Incertae_sedis f__Chrysozymaceae g__Fellozyma NA
ASV_ITS_00368 k__Fungi p__Basidiomycota c__Tremellomycetes o__Cystofilobasidiales f__Mrakiaceae g__Itersonilia s__pannonica
ASV_ITS_00369 k__Fungi p__Basidiomycota c__Tremellomycetes o__Cystofilobasidiales f__Mrakiaceae g__Krasilnikovozyma NA
ASV_ITS_00370 k__Fungi p__Basidiomycota c__Agaricomycetes o__Agaricales f__Nidulariaceae g__Mycocalia s__denudata
ASV_ITS_00371 k__Fungi p__Basidiomycota c__Tremellomycetes o__Filobasidiales NA NA NA
ASV_ITS_00372 k__Fungi p__Ascomycota c__Eurotiomycetes o__Chaetothyriales f__Herpotrichiellaceae g__Cladophialophora NA
ASV_ITS_00373 k__Fungi p__Basidiomycota c__Microbotryomycetes o__Sporidiobolales f__Sporidiobolaceae g__Rhodotorula NA
ASV_ITS_00374 k__Fungi p__Ascomycota c__Taphrinomycetes o__Taphrinales f__Taphrinaceae g__Taphrina s__tormentillae
ASV_ITS_00375 k__Fungi p__Basidiomycota c__Agaricomycetes o__Agaricales f__Cortinariaceae g__Cortinarius s__acutovelatus
ASV_ITS_00376 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Hyaloscyphaceae g__Hyaloscypha NA
ASV_ITS_00377 k__Fungi p__Basidiomycota c__Agaricomycetes NA NA NA NA
ASV_ITS_00378 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Hyaloscyphaceae g__Hyaloscypha s__variabilis
ASV_ITS_00379 k__Fungi p__Ascomycota c__Eurotiomycetes o__Chaetothyriales f__Herpotrichiellaceae NA NA
ASV_ITS_00380 k__Fungi p__Basidiomycota c__Agaricomycetes o__Sebacinales f__Serendipitaceae NA NA
ASV_ITS_00381 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Hyaloscyphaceae NA NA
ASV_ITS_00382 k__Fungi NA NA NA NA NA NA
ASV_ITS_00383 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales NA NA NA
ASV_ITS_00384 k__Fungi p__Basidiomycota c__Agaricomycetes o__Russulales f__Russulaceae g__Lactarius s__glyciosmus
ASV_ITS_00385 k__Fungi p__Ascomycota c__Leotiomycetes NA NA NA NA
ASV_ITS_00386 k__Fungi NA NA NA NA NA NA
ASV_ITS_00387 k__Fungi p__Basidiomycota c__Agaricomycetes o__Auriculariales NA NA NA
ASV_ITS_00388 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales NA NA NA
ASV_ITS_00389 k__Fungi p__Basidiomycota c__Agaricomycetes o__Auriculariales NA NA NA
ASV_ITS_00390 k__Fungi NA NA NA NA NA NA
ASV_ITS_00391 k__Fungi p__Ascomycota c__Lecanoromycetes o__Lecanorales f__Micareaceae g__Micarea NA
ASV_ITS_00392 k__Fungi p__Basidiomycota c__Microbotryomycetes o__Sporidiobolales f__Sporidiobolaceae g__Rhodotorula NA
ASV_ITS_00393 k__Fungi p__Ascomycota c__Orbiliomycetes o__Orbiliales NA NA NA
ASV_ITS_00394 k__Fungi p__Ascomycota c__Dothideomycetes o__Capnodiales f__Teratosphaeriaceae g__Bryochiton s__monascus
ASV_ITS_00395 k__Fungi p__Rozellomycota NA NA NA NA NA
ASV_ITS_00396 k__Fungi p__Basidiomycota c__Agaricomycetes o__Russulales f__Russulaceae g__Russula NA
ASV_ITS_00397 k__Fungi p__Basidiomycota c__Tremellomycetes o__Tremellales f__Phaeotremellaceae g__Phaeotremella NA
ASV_ITS_00398 k__Fungi p__Ascomycota c__Dothideomycetes o__Venturiales NA NA NA
ASV_ITS_00399 k__Fungi p__Ascomycota NA NA NA NA NA
ASV_ITS_00400 k__Fungi p__Ascomycota c__Leotiomycetes NA NA NA NA
ASV_ITS_00401 k__Fungi p__Basidiomycota c__Agaricomycetes o__Polyporales f__Irpicaceae g__Irpex s__hydnoides
ASV_ITS_00402 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Hyaloscyphaceae g__Hyaloscypha s__variabilis
ASV_ITS_00403 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales NA NA NA
ASV_ITS_00404 k__Fungi NA NA NA NA NA NA
ASV_ITS_00405 k__Fungi p__Basidiomycota NA NA NA NA NA
ASV_ITS_00406 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales NA NA NA
ASV_ITS_00407 k__Fungi p__Ascomycota c__Sordariomycetes NA NA NA NA
ASV_ITS_00408 k__Fungi p__Basidiomycota c__Agaricomycetes o__Agaricales f__Tricholomataceae g__Squamanita s__contortipes
ASV_ITS_00409 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales NA NA NA
ASV_ITS_00410 k__Fungi NA NA NA NA NA NA
ASV_ITS_00411 k__Fungi p__Basidiomycota NA NA NA NA NA
ASV_ITS_00412 k__Fungi NA NA NA NA NA NA
ASV_ITS_00413 k__Fungi p__Basidiomycota c__Agaricomycetes o__Russulales f__Russulaceae g__Russula NA
ASV_ITS_00414 k__Fungi p__Basidiomycota c__Agaricomycetes o__Hymenochaetales f__Hymenochaetaceae g__Hymenochaetopsis NA
ASV_ITS_00415 k__Fungi p__Ascomycota c__Lecanoromycetes o__Acarosporales NA NA NA
ASV_ITS_00416 k__Fungi p__Ascomycota c__Lecanoromycetes o__Trapeliales f__Trapeliaceae g__Placynthiella s__oligotropha
ASV_ITS_00417 k__Fungi p__Ascomycota c__Sordariomycetes NA NA NA NA
ASV_ITS_00418 k__Fungi p__Mucoromycota c__Endogonomycetes NA NA NA NA
ASV_ITS_00419 k__Fungi p__Basidiomycota c__Agaricomycetes o__Agaricales f__Cortinariaceae g__Cortinarius s__scaurus
ASV_ITS_00420 k__Fungi p__Monoblepharomycota c__Sanchytriomycetes o__Sanchytriales f__Sanchytriaceae NA NA
ASV_ITS_00421 k__Fungi p__Ascomycota c__Dothideomycetes o__Capnodiales f__Cladosporiaceae g__Rachicladosporium NA
ASV_ITS_00422 k__Fungi p__Basidiomycota c__Microbotryomycetes o__Sporidiobolales f__Sporidiobolaceae g__Rhodotorula NA
ASV_ITS_00423 k__Fungi NA NA NA NA NA NA
ASV_ITS_00424 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Helotiales_fam_Incertae_sedis g__Hysteropezizella s__diminuens
ASV_ITS_00425 k__Fungi NA NA NA NA NA NA
ASV_ITS_00426 k__Fungi p__Ascomycota c__Leotiomycetes NA NA NA NA
ASV_ITS_00427 k__Fungi p__Ascomycota c__Leotiomycetes o__Leotiales f__Mniaeciaceae g__Epithamnolia s__rangiferinae
ASV_ITS_00428 k__Fungi p__Rozellomycota c__Rozellomycotina_cls_Incertae_sedis o__GS12 NA NA NA
ASV_ITS_00429 k__Fungi p__Basidiomycota c__Agaricomycetes o__Russulales f__Russulaceae g__Russula NA
ASV_ITS_00430 k__Fungi p__Basidiomycota c__Agaricomycetes o__Sebacinales f__Serendipitaceae g__Serendipita NA
ASV_ITS_00431 k__Fungi p__Basidiomycota c__Tremellomycetes o__Tremellales f__Bulleribasidiaceae g__Vishniacozyma s__victoriae
ASV_ITS_00432 k__Fungi p__Rozellomycota NA NA NA NA NA
ASV_ITS_00433 k__Fungi p__Ascomycota c__Eurotiomycetes o__Eurotiales f__Aspergillaceae g__Aspergillus s__sydowii
ASV_ITS_00434 k__Fungi p__Ascomycota c__Sordariomycetes NA NA NA NA
ASV_ITS_00435 k__Fungi p__Basidiomycota c__Microbotryomycetes o__Leucosporidiales NA NA NA
ASV_ITS_00436 k__Fungi NA NA NA NA NA NA
ASV_ITS_00437 k__Fungi NA NA NA NA NA NA
ASV_ITS_00438 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales NA NA NA
ASV_ITS_00439 k__Fungi p__Ascomycota c__Sordariomycetes o__Hypocreales NA NA NA
ASV_ITS_00440 k__Fungi p__Ascomycota NA NA NA NA NA
ASV_ITS_00441 k__Fungi p__Basidiomycota NA NA NA NA NA
ASV_ITS_00442 k__Fungi NA NA NA NA NA NA
ASV_ITS_00443 k__Fungi p__Ascomycota c__Sordariomycetes o__Hypocreales f__Cordycipitaceae g__Simplicillium NA
ASV_ITS_00444 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Helotiaceae NA NA
ASV_ITS_00445 k__Fungi p__Ascomycota c__Leotiomycetes NA NA NA NA
ASV_ITS_00446 k__Fungi p__Basidiomycota c__Agaricomycetes o__Sebacinales f__Serendipitaceae g__Serendipita NA
ASV_ITS_00447 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales NA NA NA
ASV_ITS_00448 k__Fungi NA NA NA NA NA NA
ASV_ITS_00449 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Helotiales_fam_Incertae_sedis g__Hysteropezizella s__diminuens
ASV_ITS_00450 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Vibrisseaceae NA NA
ASV_ITS_00451 k__Fungi p__Basidiomycota c__Agaricomycetes o__Agaricales f__Strophariaceae g__Hypholoma s__myosotis
ASV_ITS_00452 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Hyaloscyphaceae g__Hyphodiscus NA
ASV_ITS_00453 k__Fungi p__Basidiomycota c__Agaricomycetes o__Agaricales f__Clavariaceae g__Clavaria s__sphagnicola
ASV_ITS_00454 k__Fungi p__Ascomycota c__Saccharomycetes o__Saccharomycetales f__Trichomonascaceae NA NA
ASV_ITS_00455 k__Fungi NA NA NA NA NA NA
ASV_ITS_00456 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales NA NA NA
ASV_ITS_00457 k__Fungi p__Basidiomycota c__Agaricomycetes o__Agaricales f__Psathyrellaceae g__Psathyrella NA
ASV_ITS_00458 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Hyaloscyphaceae g__Lachnellula s__fuscosanguinea
ASV_ITS_00459 k__Fungi p__Basidiomycota c__Agaricomycetes o__Sebacinales f__Serendipitaceae g__Serendipita NA
ASV_ITS_00460 k__Fungi p__Ascomycota c__Eurotiomycetes o__Chaetothyriales f__Herpotrichiellaceae g__Cladophialophora s__minutissima
ASV_ITS_00461 k__Fungi NA NA NA NA NA NA
ASV_ITS_00462 k__Fungi p__Basidiomycota c__Agaricomycetes o__Sebacinales f__Serendipitaceae g__Serendipita NA
ASV_ITS_00463 k__Fungi p__Ascomycota c__Leotiomycetes o__Phacidiales f__Phacidiaceae g__Gremmenia s__infestans
ASV_ITS_00464 k__Fungi p__Basidiomycota c__Agaricomycetes o__Agaricales f__Cortinariaceae g__Cortinarius s__acutovelatus
ASV_ITS_00465 k__Fungi p__Basidiomycota NA NA NA NA NA
ASV_ITS_00466 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales NA NA NA
ASV_ITS_00467 k__Fungi NA NA NA NA NA NA
ASV_ITS_00468 k__Fungi p__Basidiomycota c__Agaricomycetes o__Agaricales f__Clavariaceae g__Hyphodontiella s__multiseptata
ASV_ITS_00469 k__Fungi NA NA NA NA NA NA
ASV_ITS_00470 k__Fungi p__Basidiomycota c__Agaricomycetes o__Sebacinales f__Serendipitaceae g__Serendipita NA
ASV_ITS_00471 k__Fungi NA NA NA NA NA NA
ASV_ITS_00472 k__Fungi p__Basidiomycota c__Agaricomycetes NA NA NA NA
ASV_ITS_00473 k__Fungi NA NA NA NA NA NA
ASV_ITS_00474 k__Fungi NA NA NA NA NA NA
ASV_ITS_00475 k__Fungi p__Ascomycota c__Dothideomycetes o__Venturiales f__Sympoventuriaceae NA NA
ASV_ITS_00476 k__Fungi NA NA NA NA NA NA
ASV_ITS_00477 k__Fungi p__Basidiomycota c__Tremellomycetes o__Filobasidiales f__Piskurozymaceae g__Piskurozyma NA
ASV_ITS_00478 k__Fungi p__Ascomycota c__Dothideomycetes o__Capnodiales f__Cladosporiaceae g__Rachicladosporium s__monterosium
ASV_ITS_00479 k__Fungi p__Olpidiomycota NA NA NA NA NA
ASV_ITS_00480 k__Fungi p__Basidiomycota c__Agaricomycetes o__Russulales f__Russulaceae g__Russula s__violaceoincarnata
ASV_ITS_00481 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Hyaloscyphaceae g__Lachnellula s__fuscosanguinea
ASV_ITS_00482 k__Fungi p__Mortierellomycota c__Mortierellomycetes o__Mortierellales f__Mortierellaceae g__Mortierella NA
ASV_ITS_00483 k__Fungi p__Basidiomycota c__Agaricomycetes o__Sebacinales f__Serendipitaceae NA NA
ASV_ITS_00484 k__Fungi NA NA NA NA NA NA
ASV_ITS_00485 k__Fungi NA NA NA NA NA NA
ASV_ITS_00486 k__Fungi p__Ascomycota c__Leotiomycetes o__Leotiales f__Mniaeciaceae g__Epithamnolia s__rangiferinae
ASV_ITS_00487 k__Fungi NA NA NA NA NA NA
ASV_ITS_00488 k__Fungi p__Basidiomycota NA NA NA NA NA
ASV_ITS_00489 k__Fungi p__Ascomycota c__Leotiomycetes o__Helotiales f__Hyaloscyphaceae g__Hyphodiscus NA
